Date,Open,High,Low,Close,Adj Close,Volume
12-04-2022,3073.850098,3101.97998,3007.659912,3015.75,3015.75,2758900
13-04-2022,3000.370117,3120.5,2992,3110.820068,3110.820068,2669500
14-04-2022,3107.800049,3117.939941,3029.439941,3034.129883,3034.129883,2579900
15-04-2022,3107.800049,3117.939941,3029.439941,3034.129883,3034.129883,2579900
16-04-2022,3107.800049,3117.939941,3029.439941,3034.129883,3034.129883,2579900
17-04-2022,3107.800049,3117.939941,3029.439941,3034.129883,3034.129883,2579900
18-04-2022,3030.469971,3080.790039,3005.01001,3055.699951,3055.699951,2325700
19-04-2022,3040.590088,3172.97998,3031.01001,3162.310059,3162.310059,2746300
20-04-2022,3152.050049,3152.050049,3072.070068,3079.959961,3079.959961,2981500
21-04-2022,3094.280029,3134.76001,2951.790039,2965.919922,2965.919922,3198500
22-04-2022,2965,2992.300049,2873.949951,2887,2887,3653900
23-04-2022,2965,2992.300049,2873.949951,2887,2887,3653900
24-04-2022,2965,2992.300049,2873.949951,2887,2887,3653900
25-04-2022,2880.459961,2924.429932,2846.129883,2921.47998,2921.47998,3093700
26-04-2022,2896,2897.120117,2778.590088,2787.820068,2787.820068,3876500
27-04-2022,2803.830078,2838.969971,2715.669922,2763.340088,2763.340088,3566800
28-04-2022,2843.560059,2918.75,2806,2891.929932,2891.929932,5865800
29-04-2022,2596.97998,2615.219971,2432.5,2485.629883,2485.629883,13616500
30-04-2022,2596.97998,2615.219971,2432.5,2485.629883,2485.629883,13616500
01-05-2022,2596.97998,2615.219971,2432.5,2485.629883,2485.629883,13616500
02-05-2022,2448.02002,2493.360107,2367.5,2490,2490,7439400
03-05-2022,2481.070068,2524.409912,2456.5,2485.070068,2485.070068,3956700
04-05-2022,2472,2520,2383.659912,2518.570068,2518.570068,5537300
05-05-2022,2460,2469.97998,2301.449951,2328.139893,2328.139893,7219600
06-05-2022,2297,2381.01001,2261.629883,2295.449951,2295.449951,6206700
07-05-2022,2297,2381.01001,2261.629883,2295.449951,2295.449951,6206700
08-05-2022,2297,2381.01001,2261.629883,2295.449951,2295.449951,6206700
09-05-2022,2226.25,2280,2159.139893,2175.780029,2175.780029,6406200
10-05-2022,2225,2252.850098,2143.419922,2177.179932,2177.179932,5271700
11-05-2022,2162.070068,2203.120117,2088.570068,2107.439941,2107.439941,5485200
12-05-2022,2055,2215.610107,2048.110107,2138.610107,2138.610107,6601300
13-05-2022,2181.379883,2263.679932,2156,2261.100098,2261.100098,4676700
